Areacode,Phone,name1,name2,SAM_BLDNAME,SAM_STNMFR,SAM_STNAME,SAM_STSUBT,sam_estate,City,Province,Product,class_code
2,3761111,Euro Towers International Inc.,,Act Theater Building,,Aurora,Bvd,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,5712422,Euroasia Pharmaceuticals Inc,,,114,Eagle,St,,Psg,Metro Manila,MLABUS2016_MLABUSWP,
2,5700352/5707873,"Eurobrands Distributor, Inc.",,Peugeot Building,,C J Caparas,St,,Psg,Metro Manila,MLABUS2016_MLABUSWP,
2,2340240/5706921,"Eurobrands Distributor, Inc.",,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,6503323/5842663,"Eurobrands Distributor, Inc.",,,,,,,,,MLABUS2016_MLABUSWP,
2,5215960,Eurobulk (Far East) Ltd. Inc.,,Ma Natividad Building,470,T M Kalaw Sr,St,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,7222020/7222000,Eurolux Lighting Inc,,Pace Building,98,Granada,St,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,5240092/5240097,Euromed Laboratories Phil Inc,,Ppl Building,1000,United Nations,Ave,,Mla,Metro Manila,MLABUS2016_MLABUSWP,
2,5240093/5240096,Euromed Laboratories Phil Inc,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,5240095/5240094,Euromed Laboratories Phil Inc,,,,,,,,,MLABUS2016_MLABUSWP,
2,5240098/5240091,Euromed Laboratories Phil Inc,,,,,,,,,MLABUS2016_MLABUSWP,
2,5240099,Euromed Laboratories Phil Inc,,,,,,,,,MLABUS2016_MLABUSWP,
2,9125687,Europ Continents Phils Inc,,,3,Mercury,St,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,2810686/9902119,Europa Dacanay Cubelo Europa & Flores Law Office,,Fass Building,11,Pittsburgh,St,,QC,Metro Manila,MLABUS2016_MLABUSWP,
2,3511490/9902124,Europa Dacanay Cubelo Europa & Flores Law Office,,,,Or Call,,,,,MLABUS2016_MLABUSWP,
2,3511474/3511484,Europa Dacanay Cubelo Europa & Flores Law Office,,,,,,,,,MLABUS2016_MLABUSWP,
2,3511467/9902145,Europa Dacanay Cubelo Europa & Flores Law Office,,,,,,,,,MLABUS2016_MLABUSWP,
